recorder_uuid,age_range,country,province,city,postal_code,gender,occupation,mother_language,birth_country,birth_province,birth_city,grow_up_country,grow_up_province,grow_up_city,years_at_current_location,has_disability,has_speech_impediment,education
d151406f-04be-11f0-8300-0242ac120004,18-29,ZA,Northern Cape,Danielskuil,8405,male,Unemployed,tsn,ZA,northern_cape,Kimberley,ZA,northern_cape,Kimberley,6,False,False,2
33670b83-089d-11f0-ae3c-0242ac120003,30-39,ZA,Gauteng,Kempton Park,1618,female,Unemployed,tsn,ZA,north_west,Mahikeng,ZA,north_west,Mahikeng,3,False,False,2
12497dbe-1389-11f0-b3c5-0242ac120004,18-29,ZA,Gauteng,Johannesburg,1779,male,Student,tsn,ZA,north_west,Brits,ZA,north_west,Brits,8,False,False,5
57ffbbe8-0880-11f0-ae3c-0242ac120003,18-29,ZA,Limpopo,Polokwane,743,female,Self employed,tsn,ZA,north_west,Schweizer-Reneke,ZA,north_west,Potchefstroom,2,False,False,3
4ee296a1-04c3-11f0-8300-0242ac120004,40-49,ZA,Gauteng,Johannesburg,18181,female,Market Researcher,tsn,ZA,gauteng,Johannesburg,ZA,north_west,Mafikeng,25,False,False,4
3d810ffe-04c4-11f0-8300-0242ac120004,40-49,ZA,Gauteng,Johannesburg,1868,female,Unemployed,tsn,BW,,Gaborone,ZA,north_west,Mahikeng,5,False,False,9
dcfcf04a-089e-11f0-ae3c-0242ac120003,30-39,ZA,Gauteng,Johannesburg,1863,female,Unemployed,tsn,ZA,gauteng,Mogale City,ZA,gauteng,Soweto,34,False,False,2
32d347af-0881-11f0-ae3c-0242ac120003,18-29,ZA,North West,Mafikeng,2745,female,Student,tsn,ZA,north_west,Mafikeng,ZA,north_west,Mafikeng,24,False,False,2
9abe4ab1-058c-11f0-ac56-0242ac120003,18-29,ZA,North West,Hammanskraal,407,female,Tutor,tsn,ZA,north_west,Hammanskraal,ZA,north_west,Hammanskraal,1,False,False,4
433a8e31-0af0-11f0-b40b-0242ac120004,18-29,ZA,Gauteng,Soweto,1868,male,Unemployed,tsn,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,20,False,False,3
b26661ad-058c-11f0-ac56-0242ac120003,30-39,ZA,Western Cape,Cape Town,7493,female,Unemployed,tsn,ZA,north_west,Taung,ZA,north_west,Kuruman,4,False,False,2
229d5cfd-0891-11f0-ae3c-0242ac120003,30-39,ZA,Gauteng,Pretoria,82,female,Student,tsn,ZA,gauteng,Pretoria,ZA,gauteng,Pretoria,10,False,False,4
4a168989-062f-11f0-8778-0242ac120002,30-39,ZA,North West,Mmabatho,2735,female,Unemployed,tsn,ZA,north_west,Mahikeng,ZA,north_west,Mahikeng,6,False,False,2
ceb91d8c-04c2-11f0-8300-0242ac120004,30-39,ZA,Gauteng,Pretoria,208,female,Homemaker,tsn,ZA,gauteng,Pretoria,ZA,gauteng,Pretoria,32,False,False,3
ba63d238-0648-11f0-9be4-0242ac120003,30-39,ZA,North West,Mahikeng,2745,female,Unemployed,tsn,ZA,north_west,Mafikeng,ZA,north_west,Mafikeng,39,False,False,2
45e0e098-0632-11f0-981c-0242ac120002,40-49,ZA,North West,Vryburg,8601,female,Unemployed,tsn,ZA,freestate,Thaba Nchu,ZA,freestate,Mmabatho,10,False,False,2
16028a40-0884-11f0-ae3c-0242ac120003,18-29,ZA,North West,Rustenburg,300,female,Unemployed,tsn,ZA,north_west,Zeerust,ZA,north_west,Zeerust,10,False,False,4
d392d9dd-061e-11f0-8778-0242ac120002,18-29,ZA,Gauteng,MOGALE CITY,1739,female,Unemployed,tsn,ZA,gauteng,Mogale City,ZA,gauteng,Mogale City,2,False,False,2
8d43778c-1537-11f0-bb20-0242ac120003,30-39,ZA,Gauteng,Krugersdorp,1754,male,Unemployed,tsn,ZA,north_west,Mahikeng,ZA,north_west,Mahikeng,3,False,False,5
cfeb254b-0891-11f0-ae3c-0242ac120003,18-29,ZA,Gauteng,Krugersdorp,1739,female,Unemployed,tsn,ZA,gauteng,Krugersdorp,ZA,gauteng,Krugersdorp,26,False,False,2
73f53fb9-061e-11f0-8778-0242ac120002,18-29,ZA,Gauteng,Johannesburg,1710,female,Online teacher,tsn,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,2,False,False,3
48e37ca0-0e14-11f0-9047-0242ac120004,18-29,ZA,Gauteng,Pretoria,152,female,Self employed,tsn,ZA,gauteng,Soshanguve,ZA,gauteng,Soshanguve,25,False,False,4
a9d41632-058b-11f0-ac56-0242ac120003,30-39,ZA,Gauteng,Carletonville,2499,female,Unemployed,tsn,ZA,gauteng,Johannesburg,ZA,gauteng,Carletonville,20,False,False,9
b4b170a5-0aed-11f0-b40b-0242ac120004,18-29,ZA,North West,Brits,189,female,,tsn,ZA,north_west,Brits,ZA,north_west,BRITS,23,False,False,2
2f0b0643-0899-11f0-ae3c-0242ac120003,30-39,ZA,Gauteng,Pretoria,1,female,Unemployed,tsn,ZA,gauteng,Hammanskraal,ZA,gauteng,Hammanskraal,3,False,False,2
1a750efe-058b-11f0-ac56-0242ac120003,40-49,ZA,Gauteng,Johannesburg,1820,female,Unemployed,tsn,ZA,gauteng,Krugersdorp,ZA,gauteng,Krugersdorp,6,False,False,4
0e35b5e8-15e0-11f0-bb20-0242ac120003,18-29,ZA,Gauteng,Johannesburg,1852,male,Laboratory Technician,tsn,ZA,gauteng,Pretoria,ZA,gauteng,Brits,27,True,False,3
d7d825dd-15dc-11f0-bb20-0242ac120003,30-39,ZA,North West,Mahikeng,2745,male,,tsn,ZA,north_west,Mahikeng,ZA,north_west,Mahikeng,20,False,False,6
dc710623-19c9-11f0-9933-0242ac120005,30-39,ZA,North West,Delareyville,2770,male,Unemployed,tsn,ZA,north_west,Delareyville,ZA,north_west,Delareyville,15,False,False,2
8f6ddebb-0621-11f0-8778-0242ac120002,18-29,ZA,Gauteng,Soshanguve,152,female,Clerk,tsn,ZA,gauteng,Ga-rankuwa,ZA,gauteng,Soshanguve,29,False,False,3
4a41b410-088d-11f0-ae3c-0242ac120003,30-39,ZA,Gauteng,Johannesburg,1863,male,,tsn,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,30,False,False,2
7a987ea9-0e14-11f0-9047-0242ac120004,18-29,ZA,Gauteng,Hammanskraal,400,female,Hammanskraal,tsn,ZA,gauteng,Hammanskraal,ZA,gauteng,Hammanskraal,10,False,False,2
6086d520-16a6-11f0-bb20-0242ac120003,18-29,ZA,Gauteng,Pretoria,152,female,unemployed,tsn,ZA,gauteng,Pretoria,ZA,gauteng,Pretoria,27,False,False,2
8139dedc-1a97-11f0-ab2d-0242ac120005,18-29,ZA,North West,Mahikeng,2745,male,Student,tsn,ZA,north_west,Mahikeng,ZA,north_west,Mahikeng,19,False,False,2
9a35d10b-063f-11f0-9be4-0242ac120003,30-39,ZA,North West,Rustenburg,2841,female,Beauty therapist,tsn,ZA,north_west,Rustenburg,ZA,north_west,Rustenburg,4,False,False,4
b6c079c2-0898-11f0-ae3c-0242ac120003,30-39,ZA,Northern Cape,Kuruman,8460,female,Unemployed,tsn,ZA,northern_cape,Kuruman,ZA,northern_cape,Kuruman,32,False,False,2
69da72ee-2013-11f0-8813-0242ac120003,18-29,ZA,North West,Klerksdorp,2574,male,Unemployed,tsn,ZA,north_west,Klerksdorp,ZA,north_west,Klerksdorp,29,False,False,2
06db58f0-1f49-11f0-8813-0242ac120003,18-29,ZA,Gauteng,Johannesburg,1754,male,Self employed,tsn,ZA,gauteng,Krugersdorp,ZA,gauteng,Soweto,2,False,False,2
34f99a71-1b5e-11f0-b335-0242ac120002,30-39,ZA,Gauteng,Pretoria,152,female,Unemployed,tsn,ZA,gauteng,Pretoria,ZA,gauteng,Pretoria,31,False,False,5
ecf007b2-1f4f-11f0-8813-0242ac120003,18-29,ZA,Gauteng,Krugesdorp,1739,male,Solar Technician,tsn,ZA,north_west,Taung,ZA,north_west,Krugersdorp,10,False,False,2
358b2c6a-2bdb-11f0-892d-0242ac120003,18-29,ZA,Gauteng,Mogale City,1753,male,Unemployed,tsn,ZA,north_west,Rustenburg,ZA,north_west,Rustenburg,5,False,False,2
dec7d18a-0647-11f0-9be4-0242ac120003,18-29,ZA,Gauteng,Johannesburg,1863,female,Unemployed/University Student,tsn,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,20,False,False,9
80d814eb-0622-11f0-8778-0242ac120002,40-49,ZA,Gauteng,Johannesburg,1861,female,Unemployed,tsn,ZA,gauteng,Johannesburg and Soweto,ZA,gauteng,Zeerust and Moshana,10,False,False,5
e15a5221-20db-11f0-8813-0242ac120003,18-29,ZA,North West,Moeka,440,male,Unemployment,tsn,ZA,north_west,Moeka,ZA,north_west,Moeka,24,False,False,2
116071b2-0642-11f0-9be4-0242ac120003,18-29,ZA,North West,Vryburg,8617,female,Student,tsn,ZA,north_west,Vryburg,ZA,north_west,Vryburg,25,True,False,5
8750edd9-061d-11f0-8778-0242ac120002,30-39,ZA,Gauteng,Krugersdorp,1754,female,Unemployed,tsn,ZA,gauteng,Krugersdorp,ZA,gauteng,Krugersdorp,10,False,False,2
fbc1025b-19c8-11f0-9933-0242ac120005,40-49,ZA,Gauteng,Pretoria,122,female,Receptionist,tsn,ZA,gauteng,Pretoria,ZA,gauteng,Pretoria,36,False,False,4
b192814b-088a-11f0-ae3c-0242ac120003,30-39,ZA,North West,Rustenburg,308,female,Unemployed,tsn,ZA,north_west,Rustenburg,ZA,north_west,Rustenburg,30,False,False,3
c05a2008-2118-11f0-9a50-0242ac120005,30-39,ZA,North West,Klerksdorp,2600,male,Unemployed,tsn,ZA,north_west,Klerksdorp,ZA,north_west,Klerksdorp,32,False,False,3
b930fb04-0883-11f0-ae3c-0242ac120003,18-29,ZA,Gauteng,Pretoria,198,female,Student,tsn,ZA,gauteng,Pretoria,ZA,gauteng,Pretoria,6,False,False,2
3102875d-19c9-11f0-9933-0242ac120005,18-29,ZA,North West,Klerksdorp,2574,male,Student,tsn,ZA,north_west,Klerksdorp,ZA,north_west,Klerksdorp,6,False,False,5
c91aa59c-2012-11f0-8813-0242ac120003,18-29,ZA,North West,Rustenburg,351,male,Student,tsn,ZA,north_west,Rustenburg,ZA,north_west,Pretoria,2,False,False,2
89492062-16a6-11f0-bb20-0242ac120003,30-39,ZA,Gauteng,Randfontein,1759,female,Data Capture,tsn,ZA,gauteng,Krugersdorp,ZA,gauteng,Krugersdorp,3,False,False,5
06115a5f-2017-11f0-8813-0242ac120003,18-29,ZA,Gauteng,Johannesburg,2499,male,unemployed,tsn,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,21,False,False,2
0743f8b1-cf30-11ef-ad90-0242ac120003,18-29,ZA,Free State,Bloemfontein,9300,male,Self Employed,sot,ZA,freestate,Qwa Qwa,ZA,freestate,Qwa Qwa,6,False,False,5
72f893af-d199-11ef-88e6-0242ac120005,30-39,ZA,Gauteng,Westonaria,1779,female,Student,sot,ZA,gauteng,Westonaria,ZA,gauteng,Westonaria,15,False,False,2
4b479339-d175-11ef-9170-0242ac120005,18-29,ZA,Free State,Phuthaditjhaba,9869,male,Virtual Assistant,sot,ZA,freestate,Phuthaditjhaba,ZA,freestate,Phuthaditjhaba,22,False,False,3
f7da7901-d198-11ef-88e6-0242ac120005,18-29,ZA,Gauteng,Vereeniging,1983,female,Receptionist,sot,ZA,gauteng,Sebokeng,ZA,gauteng,Sebokeng,25,False,False,3
60d95076-d313-11ef-9c52-0242ac120005,30-39,ZA,Gauteng,Rand West City,1779,male,Unemployed,sot,ZA,gauteng,Rand West City,ZA,gauteng,West Rand,15,False,False,1
978217ca-d3d1-11ef-a4ef-0242ac120004,18-29,ZA,Free State,Bloemfontein,9781,female,Unemployed,sot,ZA,freestate,Botshabelo,ZA,freestate,Botshabelo,26,False,False,5
62299230-d24c-11ef-a0f3-0242ac120002,18-29,ZA,Gauteng,Westonaria,1779,male,Unemployed,sot,ZA,gauteng,Westonaria,ZA,gauteng,Westonaria,25,False,False,3
0fe4f82e-d6fc-11ef-8133-0242ac120004,30-39,ZA,Free State,Bloemfontein,9660,female,Unemployed,sot,ZA,freestate,Bloemfontein,ZA,freestate,Bloemfontein,30,False,False,2
4ff7c35f-d49d-11ef-a4ef-0242ac120004,18-29,ZA,Free State,Phuthaditjhaba,9868,female,Unemployed,sot,ZA,freestate,Qwaqwa,ZA,freestate,Qwaqwa,24,False,False,5
ea460382-d6fe-11ef-8133-0242ac120004,18-29,ZA,Gauteng,Pretoria,35,female,Auditor,sot,ZA,freestate,Qwa Qwa,ZA,freestate,Qwa Qwa,2,False,False,6
9a509c69-d415-11ef-a4ef-0242ac120004,18-29,ZA,Free State,Motsethabong,9463,male,Security Officer,sot,ZA,freestate,Welkom,ZA,freestate,Welkom,24,False,False,2
4c30707f-d6ff-11ef-8133-0242ac120004,18-29,ZA,Free State,Welkom,9463,female,Unemployed,sot,ZA,freestate,Welkom,ZA,freestate,Welkom,25,False,False,5
b50f843d-d7c0-11ef-b5fc-0242ac120002,30-39,ZA,Free State,Bloemfontein,9300,female,Unemployed,sot,ZA,freestate,Bloemfontein,ZA,freestate,Bloemfontein,1,False,False,4
a712ab44-cf25-11ef-ad90-0242ac120003,30-39,ZA,Free State,Rammolutsi,9520,female,Debt Collector,sot,ZA,freestate,Viljoenskroon,ZA,freestate,Viljoenskroon,38,False,False,2
453780d9-d4ad-11ef-a4ef-0242ac120004,30-39,ZA,Free State,Bloemfontein,9301,female,Student,sot,ZA,freestate,Bloemfontein,ZA,freestate,Botshabelo,10,False,False,2
72a70093-cf25-11ef-ad90-0242ac120003,18-29,ZA,Gauteng,Boksburg,1459,female,Unemployed,sot,ZA,freestate,Bloemfontein,ZA,freestate,Bloemfontein,2,False,False,6
38e1765e-d7c0-11ef-b5fc-0242ac120002,18-29,ZA,Free State,Witsieshoek,9870,female,Unemployed,sot,ZA,freestate,Phuthaditjhaba,ZA,freestate,Phuthaditjhaba,21,False,False,2
892d3c8b-d6fc-11ef-8133-0242ac120004,18-29,ZA,Gauteng,Johannesburg,1818,female,Electrician,sot,ZA,freestate,Bloemfontein,ZA,freestate,Bloemfontein,5,False,False,4
56b4c8b4-d4d4-11ef-a4ef-0242ac120004,30-39,ZA,Gauteng,Rand West City,1779,male,Unemployed,sot,ZA,gauteng,Rand West City,ZA,gauteng,Rand West City,16,False,False,3
c90f8af1-d49d-11ef-a4ef-0242ac120004,18-29,ZA,Gauteng,Pretoria,81,female,Sesotho Assistant teacher,sot,ZA,freestate,Ficksburg,ZA,freestate,Ficksburg,3,False,False,5
3b51d7f7-e215-11ef-931f-0242ac120004,40-49,ZA,Gauteng,Johannesburg,1809,female,,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Soweto,40,False,False,9
f38c207f-e1fb-11ef-883e-0242ac120003,40-49,ZA,Gauteng,Evaton North,1984,female,CALL CENTER AGENT,sot,ZA,freestate,Qwaqwa,ZA,freestate,Qwaqwa,23,False,False,3
c1ab1227-e1fb-11ef-883e-0242ac120003,30-39,ZA,Gauteng,Evaton North,1984,female,Data capturer,sot,ZA,freestate,QwaQwa,ZA,freestate,QwaQwa,15,False,False,4
c408b24e-e1ff-11ef-883e-0242ac120003,30-39,ZA,Gauteng,Pretoria,152,female,Freelancer,sot,ZA,gauteng,Evaton,ZA,gauteng,Evaton,10,False,False,3
b047d4d1-e22c-11ef-931f-0242ac120004,30-39,ZA,Free State,Bloemfontein,9323,male,Unemployed,sot,ZA,freestate,Bloemfontein,ZA,freestate,Bloemfontein,31,False,False,3
a36e4d8f-e3bf-11ef-baa7-0242ac120004,18-29,ZA,Free State,Phuthaditjaba,9866,male,Artist,sot,ZA,freestate,Phuthaditjaba,ZA,freestate,Phuthaditjaba,24,False,False,3
4d1d277f-e217-11ef-931f-0242ac120004,30-39,ZA,Free State,Bethlehem,9701,female,Unemployed,sot,ZA,freestate,Bethlehem,ZA,freestate,Bethlehem,20,False,False,5
